periodName,value,state
February,2.5,South_Carolina
January,2.4,South_Carolina
June,7.2,South_Dakota
May,9.4,South_Dakota
April,10.9,South_Dakota
March,3.1,South_Dakota
February,3.3,South_Dakota
January,3.4,South_Dakota
June,9.7,Tennessee
May,11,Tennessee
April,15.5,Tennessee
March,3.3,Tennessee
February,3.4,Tennessee
January,3.3,Tennessee
June,8.6,Texas
May,13,Texas
April,13.5,Texas
March,5.1,Texas
February,3.5,Texas
January,3.5,Texas
June,5.1,Utah
May,8.6,Utah
April,10.4,Utah
March,3.8,Utah
February,2.5,Utah
January,2.5,Utah
June,9.4,Vermont
May,12.8,Vermont
April,16.5,Vermont
March,3.1,Vermont
February,2.4,Vermont
January,2.4,Vermont
June,8.4,Virginia
May,9,Virginia
April,11.2,Virginia
March,3.3,Virginia
February,2.6,Virginia
January,2.7,Virginia
June,9.8,Washington
May,15.1,Washington
April,16.3,Washington
March,5.1,Washington
February,3.8,Washington
January,3.9,Washington
June,10.4,West_Virginia
May,12.9,West_Virginia
April,15.9,West_Virginia
March,6,West_Virginia
February,4.9,West_Virginia
January,5,West_Virginia
June,8.5,Wisconsin
May,12.1,Wisconsin
April,13.6,Wisconsin
March,3.1,Wisconsin
February,3.5,Wisconsin
January,3.5,Wisconsin
June,7.6,Wyoming
May,8.8,Wyoming
April,9.6,Wyoming
March,3.8,Wyoming
February,3.7,Wyoming
January,3.7,Wyoming
